ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET
24853,1,4,7,59,1,213203,40216
6232,1,4,8,2,3,235617,138285
8043,1,4,8,3,1,4680,163305
52970,1,4,8,3,0,914,164845
19001,1,4,8,4,1,24,239722
56261,1,4,8,5,1,206243,163709
11333,1,4,8,6,1,10272,216749
25790,1,4,8,6,0,158645,8413
32523,1,4,8,6,0,218751,233249
2573,1,4,8,7,1,215527,52983
4794,1,4,8,7,0,215527,165119
14026,1,4,8,7,0,148285,11520
29594,1,4,8,8,1,110502,147125
48457,1,4,8,8,0,32855,217607
3295,1,4,8,9,1,58815,241042
40091,1,4,8,9,0,215527,6292
17448,1,4,8,10,1,110502,162450
43852,1,4,8,10,0,175313,138687
9264,1,4,8,11,1,167767,3064
4356,1,4,8,12,1,164031,161453
7251,1,4,8,12,0,236906,60158
55176,1,4,8,13,1,3071,199229
9994,1,4,8,14,1,231517,78646
24135,1,4,8,14,0,140833,140827
46090,1,4,8,14,0,215527,198514
8249,1,4,8,16,2,169690,164095
36842,1,4,8,16,0,215527,134853
37572,1,4,8,16,0,151386,163305
1467,1,4,8,17,1,173522,25276
41386,1,4,8,18,1,164530,199231
18327,1,4,8,19,1,8709,110502
17263,1,4,8,21,2,13091,22781
49299,1,4,8,21,0,215527,232253
7422,1,4,8,22,1,151386,222306
46537,1,4,8,22,0,163959,166528
39389,1,4,8,23,1,235421,9775
18024,1,4,8,24,1,151386,222306
30125,1,4,8,24,0,151385,8982
43724,1,4,8,24,0,2331,222410
15169,1,4,8,25,1,4680,110502
41195,1,4,8,25,0,199671,158325
49151,1,4,8,25,0,215527,167176
21253,1,4,8,27,2,236906,60158
35248,1,4,8,27,0,159139,10658
56153,1,4,8,27,0,122829,217394
12286,1,4,8,28,1,4680,207929
11600,1,4,8,29,1,6285,199229
4125,1,4,8,30,1,33682,201509
51590,1,4,8,30,0,173384,201509
51836,1,4,8,30,0,12554,215527
53049,1,4,8,31,1,213215,224765
20830,1,4,8,32,1,161646,215527
39256,1,4,8,33,1,110502,137781
39678,1,4,8,33,0,158749,152035
54117,1,4,8,33,0,153326,163709
55665,1,4,8,33,0,138089,226053
538,1,4,8,34,1,176525,195642
8804,1,4,8,34,0,9662,2148
17654,1,4,8,34,0,163091,222055
35936,1,4,8,35,1,165573,158839
