ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET,TIME
20362,1,1,2,13,1,1623,136982,133
28475,1,1,2,13,0,208098,101025,133
50225,1,1,2,13,0,215527,155212,133
7626,1,1,2,14,1,1942,167156,134
11784,1,1,2,14,0,7898,150455,134
26478,1,1,2,14,0,216749,216753,134
43452,1,1,2,14,0,233993,882,134
55236,1,1,2,14,0,215527,32855,134
6292,1,1,2,15,1,141572,153310,135
18297,1,1,2,15,0,215527,11613,135
30071,1,1,2,15,0,224907,215527,135
37660,1,1,2,15,0,173141,6884,135
40653,1,1,2,15,0,43392,199229,135
22176,1,1,2,16,1,123450,209723,136
23756,1,1,2,16,0,158645,3678,136
32305,1,1,2,16,0,4713,216749,136
45665,1,1,2,16,0,167629,151386,136
54282,1,1,2,16,0,218678,177344,136
12588,1,1,2,17,1,167641,160703,137
32868,1,1,2,17,0,215527,216325,137
41333,1,1,2,17,0,222306,110502,137
9917,1,1,2,18,1,7943,226394,138
15434,1,1,2,18,0,215527,177925,138
23292,1,1,2,18,0,177397,205604,138
35904,1,1,2,18,0,810,167836,138
3043,1,1,2,19,1,1527,11699,139
3463,1,1,2,19,0,167633,213239,139
8214,1,1,2,19,0,167633,164731,139
14620,1,1,2,19,0,157285,239449,139
24753,1,1,2,19,0,163932,151337,139
12852,1,1,2,20,1,41931,218775,140
24071,1,1,2,20,0,4570,155880,140
29221,1,1,2,20,0,151369,218666,140
41644,1,1,2,20,0,233097,97292,140
7194,1,1,2,21,1,167629,19883,141
36371,1,1,2,21,0,127730,170485,141
4646,1,1,2,22,1,215527,9615,142
48375,1,1,2,22,0,9011,153321,142
13688,1,1,2,23,1,166548,193018,143
42936,1,1,2,23,0,217096,2332,143
44848,1,1,2,23,0,153127,215527,143
23146,1,1,2,24,1,215527,159395,144
25438,1,1,2,24,0,153453,19920,144
26020,1,1,2,24,0,216749,1760,144
40410,1,1,2,24,0,5453,5173,144
46703,1,1,2,24,0,78649,192219,144
5515,1,1,2,25,1,164677,239302,145
17087,1,1,2,25,0,199729,151972,145
43407,1,1,2,25,0,228614,10658,145
43931,1,1,2,25,0,216749,40083,145
56448,1,1,2,25,0,241532,7863,145
3915,1,1,2,26,1,222306,110502,146
4281,1,1,2,26,0,215527,124027,146
19554,1,1,2,26,0,216755,239449,146
26568,1,1,2,26,0,215527,149678,146
26983,1,1,2,26,0,167633,165571,146
34216,1,1,2,26,0,193797,9565,146
35467,1,1,2,26,0,6401,131829,146
54823,1,1,2,26,0,216749,151374,146
26828,1,1,2,28,2,159148,9562,148
33012,1,1,2,28,0,215527,1954,148
337,1,1,2,29,1,216749,175316,149
21303,1,1,2,29,0,159139,11178,149
28179,1,1,2,29,0,162328,196113,149
29854,1,1,2,29,0,216904,161107,149
30790,1,1,2,29,0,139263,115670,149
44934,1,1,2,29,0,13043,224456,149
46043,1,1,2,29,0,219520,215527,149
2107,1,1,2,30,1,216749,10591,150
6386,1,1,2,30,0,215527,173135,150
13824,1,1,2,30,0,196843,6793,150
41531,1,1,2,30,0,222089,861,150
5014,1,1,2,31,1,78649,140681,151
16377,1,1,2,31,0,10268,137522,151
25728,1,1,2,31,0,215527,162328,151
31206,1,1,2,31,0,215527,238970,151
48032,1,1,2,31,0,164850,215527,151
37127,1,1,2,32,1,151386,237125,152
6091,1,1,2,33,1,151337,10658,153
9529,1,1,2,33,0,2320,214006,153
23516,1,1,2,33,0,215527,15208,153
8013,1,1,2,34,1,238381,224633,154
12196,1,1,2,34,0,215527,163819,154
19149,1,1,2,34,0,9983,11699,154
32395,1,1,2,34,0,153459,8367,154
21451,1,1,2,35,1,110502,4711,155
27138,1,1,2,35,0,226622,198514,155
29681,1,1,2,35,0,198519,107700,155
38246,1,1,2,35,0,215527,219517,155
53681,1,1,2,35,0,216749,198793,155
54621,1,1,2,35,0,11699,59865,155
16610,1,1,2,36,1,167625,32851,156
50439,1,1,2,36,0,215527,1079,156
56874,1,1,2,36,0,10589,13714,156
34099,1,1,2,37,1,215527,1217,157
35539,1,1,2,37,0,110502,1948,157
36262,1,1,2,37,0,6302,81060,157
36586,1,1,2,37,0,163707,151003,157
39422,1,1,2,37,0,199729,101268,157
48106,1,1,2,37,0,59461,160703,157
865,1,1,2,38,1,132456,158606,158
34395,1,1,2,38,0,151369,163686,158
51928,1,1,2,38,0,1873,206238,158
11302,1,1,2,39,1,110502,8173,159
14810,1,1,2,39,0,136941,9565,159
21759,1,1,2,39,0,167751,234089,159
31400,1,1,2,39,0,158765,60802,159
38429,1,1,2,39,0,110502,5515,159
16193,1,1,2,40,1,775,199229,160
28058,1,1,2,40,0,216749,13153,160
31596,1,1,2,40,0,179098,199229,160
19711,1,1,2,41,1,1577,206241,161
21807,1,1,2,41,0,162328,78115,161
36289,1,1,2,41,0,215527,216749,161
54783,1,1,2,41,0,216749,163819,161
2290,1,1,2,42,1,215527,4561,162
18394,1,1,2,42,0,36,35,162
11088,1,1,2,43,1,238381,147083,163
33058,1,1,2,43,0,216749,222410,163
8082,1,1,2,44,1,216749,9333,164
37028,1,1,2,44,0,167629,163819,164
37666,1,1,2,44,0,230288,159809,164
44290,1,1,2,44,0,162328,151921,164
48511,1,1,2,44,0,151337,83374,164
18141,1,1,2,45,1,216749,216753,165
20997,1,1,2,45,0,215527,175754,165
42940,1,1,2,45,0,162328,70145,165
53270,1,1,2,45,0,7400,158748,165
22641,1,1,2,46,1,215527,200079,166
29540,1,1,2,46,0,235617,220160,166
11391,1,1,2,47,1,8342,166550,167
53857,1,1,2,47,0,186,9775,167
56692,1,1,2,47,0,152156,162635,167
14097,1,1,2,48,1,167633,163819,168
31939,1,1,2,48,0,23260,882,168
33896,1,1,2,48,0,216749,234090,168
37490,1,1,2,48,0,215527,101268,168
44712,1,1,2,48,0,215527,153123,168
48758,1,1,2,49,1,215527,137157,169
55904,1,1,2,49,0,110502,18198,169
978,1,1,2,51,2,216749,22538,171
24971,1,1,2,51,0,103597,222306,171
40561,1,1,2,51,0,238381,237679,171
50845,1,1,2,51,0,215527,165846,171
11563,1,1,2,52,1,238381,218557,172
4729,1,1,2,53,1,167629,197040,173
12592,1,1,2,53,0,167629,158602,173
27905,1,1,2,53,0,1948,230934,173
38048,1,1,2,53,0,238381,3320,173
42158,1,1,2,53,0,5670,5172,173
7830,1,1,2,54,1,6571,167840,174
42559,1,1,2,54,0,2319,132826,174
45023,1,1,2,54,0,216749,1972,174
13879,1,1,2,55,1,167629,153172,175
28753,1,1,2,55,0,146782,26253,175
36425,1,1,2,55,0,5568,136918,175
17739,1,1,2,56,1,195234,158318,176
21643,1,1,2,56,0,138699,231850,176
24328,1,1,2,56,0,110502,227248,176
51037,1,1,2,56,0,168242,6828,176
48185,1,1,2,57,1,907,199229,177
55611,1,1,2,57,0,215527,216802,177
34505,1,1,2,58,1,6500,6499,178
1642,1,1,2,59,1,144728,237015,179
13228,1,1,2,59,0,222406,150058,179
36804,1,1,2,59,0,12554,172912,179
53960,1,1,2,59,0,216749,127660,179
22447,1,1,3,0,1,218775,151420,180
43136,1,1,3,0,0,215527,216013,180
747,1,1,3,1,1,216749,144333,181
11667,1,1,3,1,0,167641,199229,181
29222,1,1,3,1,0,9681,9116,181
32217,1,1,3,1,0,238381,237064,181
46047,1,1,3,1,0,167629,215527,181
56490,1,1,3,1,0,210085,158732,181
6189,1,1,3,2,1,241562,215527,182
10045,1,1,3,2,0,215527,237150,182
26409,1,1,3,2,0,233837,216802,182
37493,1,1,3,2,0,167629,163819,182
53271,1,1,3,2,0,105279,137770,182
12463,1,1,3,3,1,241134,168634,183
23517,1,1,3,3,0,149702,152228,183
